,Unnamed: 0,iteration,total_time,actor_loss,value_loss,actor_grad_norm,critic_grad_norm,episode_reward,episode_success,episode_reward_planning,episode_success_planning,_timestamp,_runtime,task
0,0,99999,14250.977073907852,-7.68602466583252,0.0003354696673341,0.0035310699604451,0.2456501573324203,950.5038,0.0,517.80994,0.0,1715928957,14562,cartpole-balance
0,0,99999,12773.793576717377,-37.64273834228515,0.0050663971342146,0.0254039540886878,0.398896723985672,871.8,0.0,865.5,0.0,1715927889,13074,finger-turn-hard
0,0,99999,12758.317411184313,-12.182113647460938,0.0025076128076761,0.0136256162077188,0.2293099761009216,473.35175,0.0,251.20467,0.0,1715928254,13047,cheetah-run-back
0,0,99999,12622.88183236122,-6.6314239501953125,0.0053535625338554,0.0070961383171379,0.2114520817995071,109.80245,0.0,35.06732,0.0,1715927161,12917,acrobot-swingup
0,0,99999,12723.244869709017,-11.13819980621338,0.0075224209576845,0.0177309401333332,0.2436842173337936,687.0,0.0,754.4,0.0,1715928492,13016,reacher-three-hard
0,0,99999,13701.168377876282,-7.770646095275879,0.0002740271156653,0.0027706248220056,0.2160943150520324,280.76086,0.0,317.71445,0.0,1715928522,14002,cartpole-swingup
0,0,99999,12593.611815690994,-46.39641571044922,0.000749577418901,0.0086864596232771,0.4204306900501251,930.2,0.0,393.0,0.0,1715927497,12891,cup-catch
0,0,99999,12820.0897462368,-20.29366683959961,0.0145129198208451,0.1402629017829895,0.2377903759479522,977.8,0.0,320.8,0.0,1715927843,13117,finger-spin
0,0,99999,12700.998214006424,-6.32578182220459,0.0040774121880531,0.0123465005308389,0.1065789014101028,568.11,0.0,235.64278,0.0,1715927879,13001,fish-swim
0,0,99999,12919.396602392197,-12.088788032531738,0.0026307376101613,0.0092005524784326,0.0821327343583107,549.67096,0.0,322.43817,0.0,1715928392,13240,cheetah-run-front
0,0,99999,13284.28428030014,-15.890056610107422,0.0007027204846963,0.010701747611165,0.2111538052558899,988.1,0.0,980.5,0.0,1715927745,13586,reacher-easy
0,0,99999,12667.858219146729,-15.909242630004885,0.0016824640333652,0.0135309314355254,0.2961624264717102,857.3324,0.0,612.3749,0.0,1715927109,12985,walker-run
0,0,99999,12716.623472929,-12.25362491607666,0.0014565092278644,0.0048965434543788,0.4718041718006134,204.54578,0.0,334.8373,0.0,1715927134,13014,cheetah-run
0,0,99999,13287.07307100296,-10.971569061279297,0.0017552322242408,0.0056777247227728,0.1371003985404968,462.13397,0.0,437.4213,0.0,1715928529,13589,hopper-stand
0,0,99999,12837.971790075302,-14.269109725952148,0.010245518758893,0.0225685629993677,0.205128401517868,316.16261,0.0,287.4765,0.0,1715928493,13134,hopper-hop-backwards
0,0,99999,12704.173966884611,-21.703447341918945,0.0009664737735874,0.0053398087620735,0.5587878823280334,985.49414,0.0,909.69073,0.0,1715927065,13005,walker-walk
0,0,99999,12852.470184803007,-9.809377670288086,0.0008421890088357,0.0076429983600974,0.4210837781429291,600.1362,0.0,413.47345,0.0,1715928246,13137,cheetah-run-backwards
0,0,99999,12737.041679143906,-16.16153907775879,0.0053942892700433,0.0433775149285793,0.3650217354297638,977.1483,0.0,391.7516,0.0,1715928126,13036,walker-run-backwards
0,0,99999,12694.695749521255,-43.63923263549805,0.0040596239268779,0.0159811824560165,0.2495568841695785,987.5,0.0,866.9,0.0,1715927718,12973,finger-turn-easy
0,0,99999,13697.462163448334,-14.252657890319824,2.6067293219966817e-05,0.0007294212700799,0.0494993813335895,914.2,0.0,1000.0,0.0,1715928446,13996,cartpole-balance-sparse
0,0,99999,12658.824536085129,-21.302637100219727,0.001227046479471,0.0133625715970993,0.1259174942970276,635.80725,0.0,509.75836,0.0,1715928261,12961,cheetah-jump
0,0,99999,12699.155508041382,-22.617040634155273,0.0001055177854141,0.0032280890736728,0.2828025221824646,836.008,0.0,507.4287,0.0,1715928512,12981,pendulum-spin
0,0,99999,12711.502584457396,-17.123241424560547,0.0006530737737193,0.0033267075195908,0.1452087014913559,979.2,0.0,969.7,0.0,1715928434,13012,reacher-three-easy
0,0,99999,12791.06252169609,-11.758552551269531,0.0116375852376222,0.0449666790664196,0.2344900220632553,210.68039,0.0,134.39539,0.0,1715928031,13073,hopper-hop
0,0,99999,12767.052365541458,-21.026878356933594,0.0007770095253363,0.0047585414722561,0.3816577196121216,977.772,0.0,857.39404,0.0,1715928089,13065,walker-walk-backwards
0,0,99999,13113.706290483477,-9.45505428314209,0.0005276619922369,0.0024300822988152,0.3441850543022156,798.2,0.0,15.4,0.0,1715927747,13413,pendulum-swingup
0,0,99999,12659.209123849869,-49.86505889892578,0.0002029818133451,0.0140682747587561,0.0835484340786933,834.3761,0.0,737.11316,0.0,1715928468,12957,cup-spin
0,0,99999,12738.67834830284,-32.21860885620117,0.0011338385520502,0.0087508372962474,0.4164139628410339,997.4417,0.0,987.4967,0.0,1715927037,13039,walker-stand
0,0,99999,12700.11389875412,-11.473060607910156,0.0003511009854264,0.0019079782068729,0.0470381677150726,985.3,0.0,978.3,0.0,1715927214,12995,reacher-hard
